metric_name,DecisionTreeClassifier,RandomForestClassifier,SVC,majority
reject_acc,6,6,0,3
reject_as_support,1,0,0,6
reject_as_neutral,8,9,15,6
neutral_as_reject,6,5,1,3
neutral_acc,30,31,35,24
neutral_as_support,0,0,0,9
support_as_reject,0,3,1,1
support_as_neutral,3,0,2,0
support_acc,0,0,0,2
actual_rejects,15,15,15,15
actual_neutral,36,36,36,36
actual_support,3,3,3,3
val_false_optimism_mae,1.666666667,1.428571429,1.4,1.757575758
val_false_pessimism_mae,1.571428571,1.666666667,1.25,2.2
class_false_optimism_mae,2.222222222,2,2,2.571428571
class_false_pessimism_mae,2,2.75,2.5,2.5
val_false_optimism_num,18,14,15,33
val_false_pessimism_num,14,18,16,5
class_false_optimism_num,9,9,15,21
class_false_pessimism_num,9,8,4,4
val_false_optimism_rate,0.333333333,0.259259259,0.277777778,0.611111111
val_false_pessimism_rate,0.259259259,0.333333333,0.296296296,0.092592593
class_false_optimism_rate,0.166666667,0.166666667,0.277777778,0.388888889
class_false_pessimism_rate,0.166666667,0.148148148,0.074074074,0.074074074
